ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_month,list_date,delist_date,last_ddate
MA2607.ZCE,MA607,CZCE,甲醇2607,MA,,吨,10.0,人民币元/吨,1人民币元/吨,202607,2025-07-15,2026-07-14,20260717
V2608.DCE,V2608,DCE,PVC2608,V,,吨,5.0,人民币元/吨,1人民币元/吨,202608,2025-08-15,2026-08-14,20260819
SS2612.SHF,SS2612,SHFE,不锈钢2612,SS,,吨,5.0,人民币元/吨,5人民币元/吨,202612,2025-12-16,2026-12-15,20261217
AO2606.SHF,AO2606,SHFE,氧化铝2606,AO,,吨,20.0,人民币元/吨,1人民币元/吨,202606,2025-06-17,2026-06-15,20260617
RR2606.DCE,RR2606,DCE,粳米2606,RR,,吨,10.0,人民币元/吨,1人民币元/吨,202606,2025-06-17,2026-06-12,20260617
RR2701.DCE,RR2701,DCE,粳米2701,RR,,吨,10.0,人民币元/吨,1人民币元/吨,202701,2026-01-19,2027-01-15,20270120
OP2612.SHF,OP2612,SHFE,双胶纸2612,OP,,吨,40.0,人民币元/吨,2人民币元/吨,202612,2025-12-16,2026-12-15,20261217
SH2608.ZCE,SH608,CZCE,烧碱2608,SH,,吨,30.0,人民币元/吨,1人民币元/吨,202608,2025-08-15,2026-08-14,20260819
PB2609.SHF,PB2609,SHFE,沪铅2609,PB,,吨,5.0,人民币元/吨,5人民币元/吨,202609,2025-09-16,2026-09-15,20260917
AO2604.SHF,AO2604,SHFE,氧化铝2604,AO,,吨,20.0,人民币元/吨,1人民币元/吨,202604,2025-04-16,2026-04-15,20260417
WR2603.SHF,WR2603,SHFE,线材2603,WR,,吨,10.0,人民币元/吨,1人民币元/吨,202603,2025-03-18,2026-03-16,20260318
SM2609.ZCE,SM609,CZCE,锰硅2609,SM,,吨,5.0,人民币元/吨,2人民币元/吨,202609,2025-09-15,2026-09-14,20260917
AG2610.SHF,AG2610,SHFE,沪银2610,AG,,千克,15.0,人民币元/千克,1人民币元/千克,202610,2025-10-16,2026-10-15,20261019
EG2603.DCE,EG2603,DCE,乙二醇2603,EG,,吨,10.0,人民币元/吨,1人民币元/吨,202603,2025-03-27,2026-03-26,20260331
PP2604.DCE,PP2604,DCE,聚丙烯2604,PP,,吨,5.0,人民币元/吨,1人民币元/吨,202604,2025-04-16,2026-04-15,20260420
